,year,make,model,sub_model,city,state,mileage,price,style,exterior_color,interior_color,engine,drive_type,fuel_type,transmission,accidents,title,owners,use_type
0,2021,Chevrolet,Suburban,LT RWD,San Antonio,TX,8404,67994,SUV,Satin Steel Metallic,Jet Black,5.3L V-8 Gas,RWD,Gas,Automatic,0,Clean,1,Personal Use
1,2017,Cadillac,CTS,Premium Luxury 3.6 AWD,Phoenix,AZ,29342,37000,Sedan,Black Raven,Jet Black With Morello Red Accents,3.6L V-6 Gas,AWD,Gas,Automatic,0,Clean,1,Personal Use
2,2019,Kia,Forte,LXS IVT,Bensalem,PA,17593,22395,Sedan,Clear White,Black,2.0L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,2,Personal Use
3,2018,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Hudson,WI,195205,20995,Pickup Truck,Shadow Black,Medium Earth Gray,2.7L V-6 Gas Turbocharged,4WD,Gas,Automatic,0,Clean,1,Personal Use
4,2018,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Pikeville,KY,47922,32988,Pickup Truck,Black,Black,3.3L V-6 Gas,4WD,Gas,Automatic,0,Clean,4,Rental Use
5,2019,Ford,Super Duty F-250,Lariat 4WD Crew Cab 6.75' Box,Lubbock,TX,24553,57899,Pickup Truck,White Platinum Metallic Tri-Coat,Medium Light Camel,6.2L V-8 Gas,4WD,Gas,Automatic,0,Clean,1,Personal Use
6,2015,Nissan,Altima,2.5 S,Lubbock,TX,119901,11785,Sedan,Super Black,Charcoal,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,2,Rental Use
7,2015,Nissan,Altima,2.5 S,Tempe,AZ,92366,10995,Sedan,White,Black,2.5L Inline-4 Gas,FWD,Gas,Automatic,1,Clean,2,Mixed Use
8,2018,Toyota,RAV4,XLE FWD,Ocala,FL,33633,21977,SUV,Silver Sky Metallic,Black,2.5L Inline-4 Gas,FWD,Gas,Automatic,1,Clean,1,Personal Use
9,2018,Chevrolet,Silverado 1500,LT Z71 Crew Cab Short Box 4WD,Austin,TX,159889,25950,Pickup Truck,Silver Ice Metallic,Jet Black,5.3L V-8 Gas,4WD,Gas,Automatic,0,Clean,1,Personal Use
10,2017,Ford,Super Duty F-250,King Ranch Crew Cab 6.75' Bed 4WD,Columbus,TX,127131,45391,Pickup Truck,White Platinum Metallic Tri-Coat,Java,6.2L V-8 Gas,4WD,Gas,Automatic,0,Clean,2,Personal Use
11,2019,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Lindon,UT,45891,30500,Pickup Truck,Silver,Medium Earth Gray,5.0L V-8 Gas,4WD,Gas,Automatic,0,Clean,1,Rental Use
12,2019,Chevrolet,Silverado 1500 LD,LT with 1LT Double Cab Standard Box 4WD,Caledonia,MI,116180,24997,Pickup Truck,Summit White,Jet Black,5.3L V-8 Gas,4WD,Gas,Automatic,0,Clean,1,Personal Use
13,2017,Ford,Fusion,SE FWD,Georgetown,TX,108861,12313,Sedan,Oxford White,Unknown,2.5L Inline-4 Gas,FWD,Gas,Automatic,1,Clean,3,Fleet Use
14,2018,Dodge,Charger,SXT Plus RWD,El Paso,TX,91900,20465,Sedan,Octane Red Pearlcoat,Black,3.6L V-6 Gas,RWD,Gas,Automatic,1,Clean,3,Rental Use
15,2018,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Brownsville,TN,110104,28200,Pickup Truck,Blue,Unknown,3.3L V-6 Gas,4WD,Gas,Automatic,0,Clean,3,Fleet Use
16,2020,Toyota,Corolla,LE CVT,Vista,CA,64386,17299,Sedan,Super White,Black,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,1,Rental Use
17,2018,Subaru,Outback,2.5i Premium,Trenton,NJ,48822,19500,SUV,Crystal White Pearl,Slate Black,2.5L Flat-4 Gas,AWD,Gas,Automatic,1,Clean,3,Personal Use
18,2019,Honda,Civic,LX Sedan CVT,Fullerton,CA,24859,17499,Sedan,Crystal Black Pearl,Black,2.0L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,1,Personal Use
19,2016,Toyota,4Runner,SR5 V6 RWD,El Paso,TX,192515,19700,SUV,Magnetic Gray Metallic,Black/Graphite,4.0L V-6 Gas,RWD,Gas,Automatic,1,Clean,1,Personal Use
20,2018,Nissan,Sentra,SV CVT,San Diego,CA,108158,10995,Sedan,Brilliant Silver,Charcoal,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,1,Fleet Use
21,2018,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Blackfoot,ID,121374,26979,Pickup Truck,Magnetic Metallic,Medium Earth Gray,2.7L V-6 Gas Turbocharged,4WD,Gas,Automatic,0,Clean,1,Personal Use
22,2018,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Indianapolis,IN,109353,27491,Pickup Truck,Silver,Gray,3.3L V-6 Gas,4WD,Gas,Automatic,0,Clean,2,Rental Use
23,2016,Nissan,Altima,2.5 S,San Antonio,TX,110784,10900,Sedan,Cayenne Red,Beige,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,2,Fleet Use
24,2018,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Greeley,CO,139323,24995,Pickup Truck,Blue,Gray,2.7L V-6 Gas Turbocharged,4WD,Gas,Automatic,0,Clean,1,Fleet Use
25,2018,Chevrolet,Equinox,LT with 1LT FWD,Savannah,GA,161016,13995,SUV,Silver Ice Metallic,Jet Black,1.5L Inline-4 Gas Turbocharged,FWD,Gas,Automatic,0,Clean,1,Personal Use
26,2018,Chevrolet,Silverado 1500,LT Crew Cab Short Box 4WD,Santa Fe,NM,56708,31300,Pickup Truck,Black,Jet Black,4.3L V-6 Gas,4WD,Gas,Automatic,0,Clean,1,Personal Use
27,2019,Nissan,Sentra,SV CVT,Los Angeles,CA,40000,12850,Sedan,Gun Metallic,Charcoal,1.8L Inline-4 Gas,FWD,Gas,Automatic,2,Clean,2,Fleet Use
28,2018,Ford,F-150,XL SuperCrew 5.5' Box 4WD,Norwalk,OH,52338,31500,Pickup Truck,Shadow Black,Black,3.3L V-6 Gas,4WD,Gas,Automatic,0,Clean,2,Personal Use
29,2019,Ford,Super Duty F-250,Lariat 4WD Crew Cab 6.75' Box,Webster,TX,50741,55999,Pickup Truck,Oxford White,Black,6.2L V-8 Gas,4WD,Gas,Automatic,0,Clean,1,Personal Use
30,2018,Nissan,Rogue,SV AWD,Kenvil,NJ,22892,19995,SUV,Pearl White,Charcoal,2.5L Inline-4 Gas,AWD,Gas,Automatic,0,Clean,1,Personal Use
31,2017,Ford,Super Duty F-250,Lariat Crew Cab 8' Bed 4WD,Manvel,TX,68920,44643,Pickup Truck,White,Xlt,6.2L V-8 Gas,4WD,Gas,Automatic,0,Clean,2,Mixed Use
32,2019,Toyota,Tacoma,TRD Pro Double Cab 5' Bed V6 4WD Automatic,San Diego,CA,46209,40000,Pickup Truck,Midnight Black Metallic,Graphite,3.5L V-6 Gas,4WD,Gas,Automatic,0,Clean,1,Personal Use
33,2019,Toyota,4Runner,Limited RWD,Sarasota,FL,51603,34991,SUV,Super White,Black Graphite,4.0L V-6 Gas,RWD,Gas,Automatic,0,Clean,1,Mixed Use
34,2014,Ram,1500,"Express Crew Cab 5'7"" Box 2WD",Abilene,TX,259034,12995,Pickup Truck,Deep Cherry Red Crystal Pearlcoat,Diesel Gray/Black,5.7L V-8 Gas,RWD,Gas,Automatic,0,Clean,1,Personal Use
35,2019,Ford,Edge,SEL AWD,Hialeah,FL,60056,21920,SUV,White Platinum Metallic Tri-Coat,Black,2.0L Inline-4 Gas Turbocharged,AWD,Gas,Automatic,0,Clean,1,Rental Use
36,2019,Chevrolet,Impala,Premier with 2LZ,Gainesville,GA,100439,18450,Sedan,Nightfall Gray Metallic,Jet Black,3.6L V-6 Gas,FWD,Gas,Automatic,0,Clean,2,Mixed Use
37,2019,Ford,F-150,XL Regular Cab 8.0' Box 2WD,Scottsdale,AZ,45865,19900,Pickup Truck,Oxford White,Dark Earth Gray,3.3L V-6 Gas,RWD,Gas,Automatic,0,Clean,1,Fleet Use
38,2018,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,El Paso,TX,41895,33865,Pickup Truck,Ingot Silver Metallic,Unknown,3.3L V-6 Gas,4WD,Gas,Automatic,0,Clean,1,Personal Use
39,2014,Ford,F-150,XL SuperCrew 5.5' Box 4WD,Hayward,CA,96957,20999,Pickup Truck,White,Gray,5.0L V-8 Gas,4WD,Gas,Automatic,0,Clean,0,Personal Use
40,2016,Ford,Super Duty F-250,"XLT Crew Cab 156"" 4WD",Houston,TX,205900,21998,Pickup Truck,Shadow Black,Steel,6.2L V-8 Gas,4WD,Gas,Automatic,0,Clean,2,Mixed Use
41,2018,Chevrolet,Malibu,LT with 1LT,Ocala,FL,39640,18988,Sedan,Mosaic Black Metallic,Jet Black,1.5L Inline-4 Gas Turbocharged,FWD,Gas,Automatic,1,Clean,2,Rental Use
42,2018,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Denton,TX,66917,31660,Pickup Truck,Silver,Medium Earth Gray,2.7L V-6 Gas Turbocharged,4WD,Gas,Automatic,1,Clean,2,Rental Use
43,2018,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Mooresville,IN,184570,27585,Pickup Truck,Black Velvet,Medium Earth Gray,5.0L V-8 Gas,4WD,Gas,Automatic,0,Clean,1,Personal Use
44,2018,Mercedes-Benz,C-Class,C 300 4MATIC Sedan,Newark,NJ,52345,23995,Sedan,Polar White,Silk Beige/Black,2.0L Inline-4 Gas Turbocharged,AWD,Gas,Automatic,0,Clean,1,Fleet Use
45,2018,Toyota,Corolla,LE CVT,Fort Pierce,FL,89204,15500,Sedan,Falcon Gray Metallic,Unknown,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,3,Personal Use
46,2014,Ford,F-150,XLT SuperCab 8.0' Box 4WD,Cincinnati,OH,380309,10989,Pickup Truck,Tuxedo Black Metallic,Steel Gray,5.0L V-8 Gas,4WD,Gas,Automatic,1,Clean,2,Personal Use
47,2017,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Grand Rapids,MI,113243,25890,Pickup Truck,White,Unknown,3.5L V-6 Gas Turbocharged,4WD,Gas,Automatic,0,Clean,0,Personal Use
48,2018,Ford,Explorer,XLT FWD,Manteca,CA,35691,32988,SUV,Shadow Black,Unknown,3.5L V-6 Gas,FWD,Gas,Automatic,3,Clean,1,Personal Use
49,2018,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Fayetteville,NC,119036,28210,Pickup Truck,Black,Gray,5.0L V-8 Gas,4WD,Gas,Automatic,0,Clean,2,Rental Use
50,2018,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Colorado Springs,CO,28833,37782,Pickup Truck,Black,Unknown,2.7L V-6 Gas Turbocharged,4WD,Gas,Automatic,0,Clean,1,Fleet Use
51,2017,Ford,Escape,SE 4WD,Seguin,TX,69796,15995,SUV,Ingot Silver Metallic,Gray,1.5L Inline-4 Gas Turbocharged,4WD,Gas,Automatic,0,Clean,1,Fleet Use
52,2018,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Lafayette,IN,44893,31998,Pickup Truck,Ingot Silver Metallic,Black,3.3L V-6 Gas,4WD,Gas,Automatic,0,Clean,2,Rental Use
53,2019,Ford,Super Duty F-250,XLT 4WD Crew Cab 6.75' Box,Ukiah,CA,1883,46998,Pickup Truck,Black,Unknown,6.2L V-8 Gas,4WD,Gas,Automatic,1,Clean,1,Mixed Use
54,2019,Honda,Civic,Sport Sedan CVT,San Diego,CA,11743,15999,Sedan,Aegean Blue Metallic,Black,2.0L Inline-4 Gas,FWD,Gas,Automatic,1,Salvage History,1,Personal Use
55,2019,Nissan,Rogue,S AWD,Hatboro,PA,105616,15995,SUV,Gun Metallic,Charcoal,2.5L Inline-4 Gas,AWD,Gas,Automatic,0,Clean,1,Personal Use
56,2018,Ford,Escape,SE FWD,Lima,OH,28227,18999,SUV,Shadow Black,Charcoal Black,1.5L Inline-4 Gas Turbocharged,FWD,Gas,Automatic,0,Clean,1,Personal Use
57,2019,Ford,Edge,SEL AWD,Hialeah,FL,58094,22490,SUV,White Platinum Metallic Tri-Coat,Black,2.0L Inline-4 Gas Turbocharged,AWD,Gas,Automatic,0,Clean,2,Rental Use
58,2018,GMC,Yukon,SLE RWD,Gainesville,GA,164486,27450,SUV,Summit White,Cocoa/Dune,5.3L V-8 Gas,RWD,Gas,Automatic,0,Clean,1,Personal Use
59,2018,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Lafayette,IN,83667,28998,Pickup Truck,Oxford White,Medium Earth Gray,3.3L V-6 Gas,4WD,Gas,Automatic,2,Clean,2,Rental Use
60,2013,BMW,X3,xDrive28i AWD,Pensacola,FL,111802,9788,SUV,Jet Black,Charcoal,2.0L Inline-4 Gas Turbocharged,AWD,Gas,Automatic,1,Clean,4,Fleet Use
61,2018,Toyota,Camry,XLE I4 Automatic,Staunton,VA,35816,19500,Sedan,Super White,Macadamia,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,2,Rental Use
62,2018,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Birmingham,AL,46347,34523,Pickup Truck,Shadow Black,Medium Earth Gray,5.0L V-8 Gas,4WD,Gas,Automatic,0,Clean,1,Personal Use
63,2018,Mercedes-Benz,C-Class,C 300 4MATIC Sedan,Farmingdale,NY,41987,23190,Sedan,Black,Black,2.0L Inline-4 Gas Turbocharged,AWD,Gas,Automatic,1,Clean,1,Personal Use
64,2017,Nissan,Rogue,S AWD,Sarasota,FL,99509,13791,SUV,Magnetic Black,Charcoal,2.5L Inline-4 Gas,AWD,Gas,Automatic,0,Clean,2,Personal Use
65,2018,Ford,F-150,Lariat SuperCrew 5.5' Box 4WD,Blackfoot,ID,129900,30922,Pickup Truck,Oxford White,Black,5.0L V-8 Gas Turbocharged,4WD,Gas,Automatic,0,Clean,1,Personal Use
66,2018,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Henderson,NV,83772,32998,Pickup Truck,Stone Gray,Medium Earth Gray,3.3L V-6 Gas,4WD,Gas,Automatic,0,Clean,2,Rental Use
67,2018,Ford,Edge,SEL AWD,Buffalo,NY,95132,19995,SUV,Oxford White,Ebony,2.0L Inline-4 Gas Turbocharged,AWD,Gas,Automatic,1,Clean,1,Personal Use
68,2018,Ford,F-150,Lariat SuperCrew 5.5' Box 4WD,Lubbock,TX,97615,36918,Pickup Truck,Shadow Black,Unknown,5.0L V-8 Gas Turbocharged,4WD,Gas,Automatic,0,Clean,1,Personal Use
69,2018,Toyota,Corolla,SE CVT,Santee,CA,73500,15995,Sedan,Black,Black,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,1,Personal Use
70,2019,Kia,Optima,LX,Modesto,CA,45200,17999,Sedan,Snow White Pearl,Black,2.4L Inline-4 Gas,FWD,Gas,Automatic,1,Clean,1,Mixed Use
71,2018,Mercedes-Benz,C-Class,C 300 4MATIC Sedan,Hillside,NJ,72086,21995,Sedan,Designo Cardinal Red Metallic,Silk Beige/Black,2.0L Inline-4 Gas Turbocharged,AWD,Gas,Automatic,0,Clean,1,Personal Use
72,2019,Nissan,Rogue,SV FWD,Fort Worth,TX,55453,17990,SUV,Magnetic Black Pearl,Charcoal,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,2,Rental Use
73,2015,Ford,F-150,XLT SuperCrew 5.5' Box RWD,Abilene,TX,143235,19995,Pickup Truck,White,Gray,3.5L V-6 Gas,RWD,Gas,Automatic,0,Clean,2,Rental Use
74,2019,Jeep,Cherokee,Trailhawk 4WD,Post Falls,ID,31824,26500,SUV,Bright White Clearcoat,Black,2.0L V-4 Gas Turbocharged,4WD,Gas,Automatic,0,Clean,1,Personal Use
75,2018,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Cincinnati,OH,70149,31999,Pickup Truck,Shadow Black,Medium Earth Gray,3.3L V-6 Gas,4WD,Gas,Automatic,1,Clean,2,Rental Use
76,2018,Chevrolet,Silverado 1500,LT Crew Cab Short Box 4WD,Palm Coast,FL,60337,32995,Pickup Truck,Summit White,Jet Black,5.3L V-8 Gas,4WD,Gas,Automatic,0,Clean,2,Personal Use
77,2019,Ford,Super Duty F-250,Lariat 4WD Crew Cab 6.75' Box,Frisco,TX,133120,45791,Pickup Truck,Oxford White,Black / Dark Marsala,6.2L V-8 Gas,4WD,Gas,Automatic,0,Clean,1,Personal Use
78,2019,Chevrolet,Equinox,LT with 1LT FWD,Westmont,IL,47147,20466,SUV,Iridescent Pearl Tricoat,Jet Black,1.5L Inline-4 Gas Turbocharged,FWD,Gas,Automatic,0,Clean,2,Rental Use
79,2018,Ford,F-150,XLT SuperCab 6.5' Box 2WD,Miami,FL,78223,25900,Pickup Truck,Black Velvet,Black,2.7L V-6 Gas Turbocharged,RWD,Gas,Automatic,2,Clean,1,Personal Use
80,2019,Ford,Super Duty F-250,XL 2WD Crew Cab 6.75' Box,Devine,TX,37161,44963,Pickup Truck,Oxford White,Gray,6.2L V-8 Gas,RWD,Gas,Automatic,1,Clean,1,Personal Use
81,2018,Toyota,Camry,XLE I4 Automatic,Houston,TX,14870,18500,Sedan,Midnight Black Metallic,Unknown,2.5L Inline-4 Gas,FWD,Gas,Automatic,1,Clean,2,Personal Use
82,2017,Chevrolet,Silverado 1500,LT Crew Cab Short Box 4WD,San Angelo,TX,84200,28999,Pickup Truck,Iridescent Pearl Tricoat,Cocoa/Dune,5.3L V-8 Gas,4WD,Gas,Automatic,0,Clean,2,Personal Use
83,2018,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Norman,OK,28164,35000,Pickup Truck,Shadow Black,Medium Earth Gray,2.7L V-6 Gas Turbocharged,4WD,Gas,Automatic,0,Clean,1,Personal Use
84,2018,Ford,F-150,XL SuperCrew 5.5' Box 4WD,Spokane,WA,137761,32398,Pickup Truck,Ingot Silver Metallic,Black,3.5L V-6 Gas Turbocharged,4WD,Gas,Automatic,0,Clean,1,Personal Use
85,2018,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Manning,SC,61682,32400,Pickup Truck,Magnetic Metallic,Medium Earth Gray,3.3L V-6 Gas,4WD,Gas,Automatic,0,Clean,1,Personal Use
86,2019,Jeep,Cherokee,Limited 4WD,Sussex,NJ,19027,29333,SUV,Granite Crystal Metallic Clearcoat,Black,2.0L V-4 Gas Turbocharged,4WD,Gas,Automatic,0,Clean,2,Personal Use
87,2018,Chevrolet,Silverado 1500,LT Crew Cab Short Box 2WD,Weatherford,TX,191939,22750,Pickup Truck,Summit White,Jet Black,5.3L V-8 Gas,RWD,Gas,Automatic,0,Clean,1,Personal Use
88,2014,Chevrolet,Silverado 1500,LT with 1LT Double Cab Standard Box 4WD,Pikeville,KY,194002,15341,Pickup Truck,Black,Jet Black,4.3L V-6 Gas,4WD,Gas,Automatic,0,Clean,1,Personal Use
89,2016,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Smithfield,NC,78248,28998,Pickup Truck,White,Unknown,2.7L V-6 Gas Turbocharged,4WD,Gas,Automatic,0,Clean,2,Personal Use
90,2018,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Dallas,TX,100369,27993,Pickup Truck,White Platinum Metallic Tri-Coat,Medium Earth Gray,5.0L V-8 Gas,4WD,Gas,Automatic,0,Clean,1,Personal Use
91,2018,Ford,F-150,Lariat SuperCrew 5.5' Box 2WD,San Antonio,TX,48889,35995,Pickup Truck,Oxford White,Medium Earth Gray,2.7L V-6 Gas Turbocharged,RWD,Gas,Automatic,0,Clean,2,Personal Use
92,2017,Hyundai,Elantra,SE 2.0L Sedan Automatic (alt),Houston,TX,78265,9999,Sedan,Symphony Silver,Gray,2.0L Inline-4 Gas,FWD,Gas,Automatic,2,Clean,4,Rental Use
93,2017,Ford,Escape,SE 4WD,Fairfield,OH,143012,11848,SUV,Oxford White,Charcoal Black,1.5L Inline-4 Gas Turbocharged,4WD,Gas,Automatic,0,Clean,2,Fleet Use
94,2020,Toyota,Corolla,LE CVT,Hialeah,FL,17953,19995,Sedan,Classic Silver Metallic,Black,1.8L Inline-4 Gas,FWD,Gas,Automatic,1,Clean,1,Personal Use
95,2019,Nissan,Sentra,SV CVT,Vista,CA,60742,14976,Sedan,Gun Metallic,Charcoal,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,1,Rental Use
96,2018,Toyota,Camry,LE I4 Automatic,Florence,SC,92978,17990,Sedan,White,Black,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,2,Mixed Use
97,2016,Ram,2500,"SLT Crew Cab 6'4"" Box 4WD",Austin,TX,183090,18995,Pickup Truck,Bright White Clearcoat,Diesel Gray/Black,5.7L V-8 Gas,4WD,Gas,Automatic,0,Clean,2,Mixed Use
98,2018,Nissan,Rogue,SV AWD,Kenvil,NJ,64848,17995,SUV,Brilliant Silver,Charcoal,2.5L Inline-4 Gas,AWD,Gas,Automatic,0,Clean,1,Personal Use
99,2018,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Deland,FL,40860,33998,Pickup Truck,Black,Dark Earth Gray,5.0L V-8 Gas,4WD,Gas,Automatic,0,Clean,1,Fleet Use
100,2018,Nissan,Rogue,SV AWD,Middle Village,NY,45032,18495,SUV,Magnetic Black,Charcoal,2.5L Inline-4 Gas,AWD,Gas,Automatic,1,Clean,1,Personal Use
101,2018,Mercedes-Benz,C-Class,C 300 Sedan RWD,Salinas,CA,26146,34995,Sedan,Polar White,Silk Beige/Black,2.0L Inline-4 Gas Turbocharged,RWD,Gas,Automatic,0,Clean,1,Personal Use
102,2017,Ford,Explorer,XLT 4WD,Sterling,VA,124771,15990,SUV,Blue Jeans Metallic,Ebony Black,3.5L V-6 Gas,4WD,Gas,Automatic,0,Clean,1,Personal Use
103,2019,Ford,Super Duty F-250,Lariat 4WD Crew Cab 6.75' Box,Lubbock,TX,84211,53010,Pickup Truck,White Platinum,Black / Dark Marsala,6.2L V-8 Gas,4WD,Gas,Automatic,0,Clean,1,Personal Use
104,2017,Ford,Explorer,XLT 4WD,Point Pleasant Beach,NJ,180659,14595,SUV,Shadow Black,Ebony Black,2.3L V-4 Gas Turbocharged,4WD,Gas,Automatic,1,Clean,2,Personal Use
105,2014,Honda,Civic,LX Sedan CVT,Houston,TX,96691,11488,Sedan,Alabaster Silver Metallic,Black,1.8L Inline-4 Gas,FWD,Gas,Automatic,1,Clean,2,Personal Use
106,2018,Ford,F-150,XLT SuperCab 6.5' Box 2WD,Smyrna,GA,187584,17999,Pickup Truck,Blue,Beige,5.0L V-8 Gas,RWD,Gas,Automatic,0,Clean,1,Fleet Use
107,2020,Chevrolet,Malibu,LT,San Antonio,TX,60635,19700,Sedan,Silver Ice Metallic,Jet Black,1.5L Inline-4 Gas Turbocharged,FWD,Gas,Automatic,0,Clean,1,Rental Use
108,2018,Honda,Civic,LX Sedan CVT,Fresno,CA,30854,21803,Sedan,Crystal Black Pearl,Black,2.0L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,1,Personal Use
109,2015,Nissan,Rogue Select,S FWD,San Antonio,TX,136535,7500,SUV,Pearl White,Gray,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,2,Fleet Use
110,2016,Nissan,Altima,2.5 S,Clearwater,FL,98478,14434,Sedan,Cayenne Red,Charcoal,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,1,Personal Use
111,2015,Ford,Fusion,SE FWD,Tinley Park,IL,99302,10500,Sedan,Oxford White,Charcoal Black,2.5L Inline-4 Gas,FWD,Gas,Automatic,2,Clean,3,Personal Use
112,2018,Ford,F-150,XL SuperCrew 6.5' Box 4WD,Laurel,MD,66014,32747,Pickup Truck,Oxford White,Dark Earth Gray,5.0L V-8 Gas,4WD,Gas,Automatic,0,Clean,1,Fleet Use
113,2018,Dodge,Charger,SXT RWD,Lubbock,TX,60622,25979,Sedan,Granite Pearlcoat,Black,3.6L V-6 Gas,RWD,Gas,Automatic,0,Clean,2,Fleet Use
114,2014,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Henrico,VA,239696,12888,Pickup Truck,Tuxedo Black Metallic,Unknown,5.0L V-8 Gas,4WD,Gas,Automatic,0,Clean,2,Personal Use
115,2018,Toyota,Camry,LE I4 Automatic,Honolulu,HI,31160,18995,Sedan,Gray,Gray,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,0,Personal Use
116,2014,Ford,F-150,XLT SuperCab 6.5' Box RWD,Knoxville,TN,126241,16663,Pickup Truck,Tuxedo Black Metallic,Steel Gray,3.7L V-6 Gas,RWD,Gas,Automatic,0,Clean,1,Personal Use
117,2018,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Fargo,ND,88746,29421,Pickup Truck,Magnetic Metallic,Medium Earth Gray,2.7L V-6 Gas Turbocharged,4WD,Gas,Automatic,0,Clean,2,Rental Use
118,2020,Chevrolet,Silverado 1500,WT Regular Cab Long Bed 2WD,Miami,FL,49016,24499,Pickup Truck,Summit White,Jet Black,4.3L V-6 Gas,RWD,Gas,Automatic,0,Clean,2,Personal Use
119,2018,Ford,F-150,Lariat SuperCrew 5.5' Box 4WD,El Cajon,CA,60567,38000,Pickup Truck,Ingot Silver Metallic,Gray,2.7L V-6 Gas Turbocharged,4WD,Gas,Automatic,0,Clean,2,Mixed Use
120,2018,Nissan,Altima,2.5 S,Concord,CA,143076,13888,Sedan,Glacier White,Charcoal,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,2,Personal Use
121,2016,Ford,Fusion,SE FWD,Cedar Park,TX,64886,16000,Sedan,Oxford White,Ebony,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,2,Personal Use
122,2018,Ford,F-150,XL SuperCab 6.5' Box 4WD,Arlington,TX,100497,21995,Pickup Truck,Oxford White,Medium Earth Gray,5.0L V-8 Gas,4WD,Gas,Automatic,0,Clean,2,Fleet Use
123,2018,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Roswell,GA,37624,34991,Pickup Truck,Gray,Black,3.3L V-6 Gas,4WD,Gas,Automatic,0,Clean,1,Personal Use
124,2015,Chrysler,200,Limited FWD,Indianapolis,IN,122600,9999,Sedan,Black Clearcoat,Black,2.4L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,4,Mixed Use
125,2018,BMW,3 Series,330i xDrive Sedan,Harriman,NY,33318,25995,Sedan,Black Sapphire Metallic,Black,2.0L Inline-4 Gas Turbocharged,AWD,Gas,Automatic,0,Clean,1,Personal Use
126,2019,Ford,Escape,Titanium AWD,Glenolden,PA,28835,24995,SUV,White Platinum Metallic Tri-Coat,Charcoal Black,2.0L Inline-4 Gas Turbocharged,4WD,Gas,Automatic,0,Clean,1,Personal Use
127,2018,Chevrolet,Equinox,LT with 1LT FWD,San Juan,TX,68284,17495,SUV,Storm Blue Metallic,Jet Black,1.5L Inline-4 Gas Turbocharged,FWD,Gas,Automatic,2,Clean,1,Personal Use
128,2015,Nissan,Altima,2.5 S,Abilene,TX,117073,10995,Sedan,Gun Metallic,Charcoal,2.5L Inline-4 Gas,FWD,Gas,Automatic,1,Clean,2,Personal Use
129,2015,Lexus,RX,RX 350 AWD,Dumfries,VA,26515,21995,SUV,Black,Tan,3.5L V-6 Gas,AWD,Gas,Automatic,1,Clean,3,Personal Use
130,2019,Ford,Escape,S FWD,Jacksonville,FL,139141,13990,SUV,Agate Black Metallic,Chromite Gray/Chrcl Black,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,1,Personal Use
